EVENT,boot
EVENT,arena_used_bytes,12996
EVENT,setup_complete
# CSV log format:
# INFER,<millis>,<pred_label>,<confidence>,<latency_us>
# TRIGGER,<millis>
INFER,3543,silence,0.4062,353271
INFER,3898,unknown,0.4102,353104
INFER,4253,unknown,0.4219,353310
INFER,4608,silence,0.4102,353626
INFER,4963,silence,0.4727,353234
INFER,5317,silence,0.5234,353364
INFER,5672,silence,0.4922,353686
INFER,6027,silence,0.5937,353615
INFER,6382,silence,0.5859,353152
INFER,6737,silence,0.6445,353228
INFER,7091,silence,0.4453,353348
INFER,7446,silence,0.5625,352675
INFER,7801,silence,0.5508,353075
INFER,8155,silence,0.4258,353355
INFER,8510,silence,0.6719,353505
INFER,8865,silence,0.6641,352974
INFER,9219,silence,0.5781,353309
INFER,9574,silence,0.5859,353546
INFER,9929,silence,0.6719,352995
INFER,10283,silence,0.7031,353296
INFER,10638,silence,0.6641,353348
